timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678165241990,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-51,text,false,,875,0,1,1,null,0,0,0
1678165241990,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-51,text,false,,875,0,1,1,null,0,0,0
1678165242000,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-52,text,false,,875,0,1,1,null,0,0,0
1678165242000,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-52,text,false,,875,0,1,1,null,0,0,0
1678165242010,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-53,text,false,,875,0,1,1,null,0,0,0
1678165242010,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-53,text,false,,875,0,1,1,null,0,0,0
1678165242019,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-54,text,false,,875,0,1,1,null,0,0,0
1678165242019,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-54,text,false,,875,0,1,1,null,0,0,0
1678165242030,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-55,text,false,,875,0,1,1,null,0,0,0
1678165242030,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-55,text,false,,875,0,1,1,null,0,0,0
1678165242042,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-56,text,false,,875,0,1,1,null,0,0,0
1678165242042,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-56,text,false,,875,0,1,1,null,0,0,0
1678165242057,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-57,text,false,,875,0,1,1,null,0,0,0
1678165242057,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-57,text,false,,875,0,1,1,null,0,0,0
1678165242066,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-58,text,false,,875,0,1,1,null,0,0,0
1678165242066,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-58,text,false,,875,0,1,1,null,0,0,0
1678165242077,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-59,text,false,,875,0,1,1,null,0,0,0
1678165242077,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-59,text,false,,875,0,1,1,null,0,0,0
1678165242086,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-60,text,false,,875,0,1,1,null,0,0,0
1678165242086,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-60,text,false,,875,0,1,1,null,0,0,0
1678165242095,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-61,text,false,,875,0,1,1,null,0,0,0
1678165242095,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-61,text,false,,875,0,1,1,null,0,0,0
1678165242107,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-62,text,false,,875,0,1,1,null,0,0,0
1678165242107,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-62,text,false,,875,0,1,1,null,0,0,0
1678165242117,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-63,text,false,,875,0,1,1,null,0,0,0
